City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Jucas,BR,76.66,broken clouds,-6.5253,-39.5275,Hotel Casa Bella
4,Rikitea,PF,74.93,light rain,-23.1203,-134.9692,People ThankYou
6,Timbiqui,CO,78.49,light rain,2.7717,-77.6654,Hotel Sharey
8,Waingapu,ID,77.31,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
13,Kuliyapitiya,LK,75.63,overcast clouds,7.4688,80.0401,Rest House
15,Bobon,PH,76.78,overcast clouds,12.5246,124.5636,PATILAN RESIDENCE
22,Jamestown,US,76.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Albany,US,76.46,overcast clouds,42.6001,-73.9662,
31,Guerrero Negro,MX,76.03,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
32,Bansbaria,IN,78.69,scattered clouds,22.9719,88.3994,The Kalyani Guest House
46,Poya,NC,73.62,few clouds,-21.35,165.15,
47,Matara,LK,77.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
50,Lingao,CN,77.94,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
56,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
59,Cabadiangan,PH,78.69,broken clouds,9.7531,122.4739,Kipot
60,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
62,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Mansoa,GW,79.0,overcast clouds,12.0733,-15.3189,Hotel Uaque
76,Manta,EC,78.58,few clouds,-0.95,-80.7333,Balandra Hotel
77,Roma,US,75.72,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
80,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Bubaque,GW,78.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
86,Gohpur,IN,75.4,overcast clouds,26.8833,93.6333,Murchana Music
89,Ascension,US,76.26,light rain,30.2169,-90.9001,Highland Inn
90,Bethel,US,73.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
102,Vanimo,PG,78.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
108,Camopi,GF,76.26,overcast clouds,3.1655,-52.3158,La pousada
124,Kloulklubed,PW,72.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
127,Takoradi,GH,78.87,light rain,4.8845,-1.7554,Raybow International Hotel
142,Callaguip,PH,77.02,scattered clouds,18.0714,120.4867,Pangil Beach Resort
143,Lebanon,US,77.45,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
147,Darnah,LY,72.1,clear sky,32.767,22.6367,فندق الفردوس
154,Aitape,PG,78.13,overcast clouds,-3.1374,142.3475,
160,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
161,Lompoc,US,75.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
162,Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
175,Mattru,SL,72.46,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
179,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
180,Nishihara,JP,74.68,light rain,26.1842,127.7558,Minshuku Agaihama
201,Manavalakurichi,IN,79.5,few clouds,8.1333,77.3,Jebinrio home
203,Banda Aceh,ID,79.97,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
211,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
213,Beihai,CN,79.81,overcast clouds,21.4833,109.1,21 Degree Hostel
226,Mantua,IT,74.35,clear sky,45.1667,10.7833,Hotel la Favorita
227,Hobyo,SO,79.23,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
228,Rock Sound,BS,78.71,scattered clouds,24.9,-76.2,Pink Corral Bay Property
232,Shache,CN,73.0,few clouds,38.4167,77.2406,Delong Hotel
233,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
241,Victoria,HK,79.32,scattered clouds,22.2855,114.1577,Mini Central
254,Bambanglipuro,ID,76.84,overcast clouds,-7.95,110.2833,Puri Brata
262,Dauphin,CA,73.54,broken clouds,51.1494,-100.0502,Canway Inn & Suites
270,Padang,ID,76.93,overcast clouds,-0.9492,100.3543,Mercure Padang
271,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
278,Vila Velha,BR,74.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
290,Gambela,ET,72.95,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
307,Nabire,ID,75.97,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
310,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
317,Sao Desiderio,BR,76.8,few clouds,-12.3633,-44.9733,Pousada do Luizão
318,Domoni,KM,77.9,clear sky,-12.2569,44.5319,Al Djadid
333,Sibolga,ID,76.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
334,Lanja,IN,78.49,overcast clouds,16.85,73.55,Naivedyam Farmstay
337,Talavera,PH,76.84,overcast clouds,15.6167,120.9333,R&G's Resort
340,Belmonte,BR,73.58,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
341,Itarema,BR,77.36,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
