,City,Countries,Temp,Humidity,Pressure,Latitude,Longitude
0,Ushuaia,AR,42.46,81,991,-54.8,-68.3
1,Bubaque,GW,76.5,77,1011,11.2833,-15.8333
2,Yellowknife,CA,27.12,74,1000,62.456,-114.3525
3,Port Blair,IN,86.04,79,1006,11.6667,92.75
4,Chui,UY,56.34,92,1021,-33.6971,-53.4616
5,Saskylakh,RU,13.55,89,1012,71.9167,114.0833
6,Anloga,GH,82.27,81,1009,5.7947,0.8973
7,Ancud,CL,47.88,93,1026,-41.8697,-73.8203
8,Fairbanks,US,44.74,52,1014,64.8378,-147.7164
9,Avarua,CK,84.25,79,1013,-21.2078,-159.775
10,Tiksi,RU,16.07,82,1005,71.6872,128.8694
11,Funtua,NG,78.6,57,1009,11.5233,7.3081
12,Albany,US,46.31,57,1025,42.6001,-73.9662
13,Doka,SD,83.5,49,1007,13.5167,35.7667
14,Rikitea,PF,76.28,75,1017,-23.1203,-134.9692
15,Ostrovnoy,RU,30.15,79,1016,68.0531,39.5131
16,Busselton,AU,66.54,61,1020,-33.65,115.3333
17,Cidreira,BR,65.1,83,1021,-30.1811,-50.2056
18,Hokitika,NZ,60.62,75,1014,-42.7167,170.9667
19,Thompson,CA,55.56,41,998,55.7435,-97.8558
20,Leningradskiy,RU,29.62,90,1012,69.3833,178.4167
21,Hofn,IS,44.19,91,1001,64.2539,-15.2082
22,Chokurdakh,RU,23.74,87,1003,70.6333,147.9167
23,Sibolga,ID,86.04,65,1010,1.7427,98.7792
24,Sakaiminato,JP,58.98,67,1018,35.55,133.2333
25,Markova,UA,48.47,82,1024,48.6758,24.4138
26,Kapaa,US,77.43,80,1019,22.0752,-159.319
27,Yaan,NG,78.49,80,1009,7.3833,8.5667
28,Provideniya,RU,33.3,93,1008,64.3833,-173.3
29,Mayya,RU,43.32,67,1005,61.7333,130.2811
30,Halifax,CA,35.33,76,1026,44.6453,-63.5724
31,Moree,AU,75.22,43,1022,-29.4667,149.85
32,Puerto Ayora,EC,71.49,91,1013,-0.7393,-90.3518
33,East London,ZA,61.09,77,1020,-33.0153,27.9116
34,Klamath Falls,US,32.83,75,969,42.2249,-121.7817
35,Northam,GB,48.85,76,1024,51.0333,-4.2167
36,Tselinnoye,RU,46.47,39,1030,53.0833,85.6667
37,Jamestown,US,56.44,33,1020,42.097,-79.2353
38,Grindavik,IS,46.87,93,995,63.8424,-22.4338
39,Huarmey,PE,64.89,92,1014,-10.0681,-78.1522
40,Qianjiang,CN,66.43,59,1016,30.4151,112.8859
41,Progreso,MX,91.51,72,1009,21.2833,-89.6667
42,Bluff,NZ,56.8,79,1016,-46.6,168.3333
43,Nikolskoye,RU,31.91,81,1025,59.7035,30.7861
44,Husavik,IS,42.85,89,998,66.0449,-17.3389
45,Sitka,US,51.69,66,1011,57.0531,-135.33
46,Hilo,US,76.42,78,1019,19.7297,-155.09
